word	nodeType	unit
magic	ADJ	ATE11
free	ADJ	ATE11
rash	ADJ	ATE11
sunken	ADJ	ATE11
lifeless	ADJ	ATE11
foul	ADJ	ATE11
evil	ADJ	ATE11
evil	ADJ	ATE11
sure	ADJ	ATE11
unattractive	ADJ	ATE11
unattractive	ADJ	ATE11
desperate	ADJ	ATE11
more	ADJ	ATE11
free	ADJ	ATE11
free	ADJ	ATE11
magical	ADJ	ATE11
left	ADJ	ATE11
cool	ADJ	ATE11
mystical	ADJ	ATE11
dangerous	ADJ	ATE11
magical	ADJ	ATE11
free	ADJ	ATE11
right	ADJ	ATE11
big	ADJ	ATE11
ancient	ADJ	ATE11
same	ADJ	ATE11
free	ADJ	ATE11
mystical	ADJ	ATE11
young	ADJ	ATE11
Most	ADJ	ATE11
ready	ADJ	ATE11
responsible	ADJ	ATE11
full	ADJ	ATE11
responsible	ADJ	ATE11
embarrassed	ADJ	ATE11
fine	ADJ	ATE11
fine	ADJ	ATE11
star	ADJ	ATE11
big	ADJ	ATE11
final	ADJ	ATE11
final	ADJ	ATE11
gross	ADJ	ATE11
normal	ADJ	ATE11
same	ADJ	ATE11
amazed	ADJ	ATE11
last	ADJ	ATE11
total	ADJ	ATE11
stupid	ADJ	ATE11
hysterical	ADJ	ATE11
unhappy	ADJ	ATE11
cool	ADJ	ATE11
cool	ADJ	ATE11
radical	ADJ	ATE11
ready	ADJ	ATE11
more	ADJ	ATE11
more	ADJ	ATE11
more	ADJ	ATE11
right	ADJ	ATE11
fine	ADJ	ATE11
okay	ADJ	ATE11
disgusted	ADJ	ATE11
new	ADJ	ATE11
dimensional	ADJ	ATE11
cool	ADJ	ATE11
excellent	ADJ	ATE11
third	ADJ	ATE11
next	ADJ	ATE11
orange	ADJ	ATE11
fake	ADJ	ATE11
next	ADJ	ATE11
tilted	ADJ	ATE11
big	ADJ	ATE11
ready	ADJ	ATE11
good	ADJ	ATE11
limitless	ADJ	ATE11
new	ADJ	ATE11
good	ADJ	ATE11
asleep	ADJ	ATE11
lame	ADJ	ATE11
ready	ADJ	ATE11
big	ADJ	ATE11
true	ADJ	ATE11
last	ADJ	ATE11
free	ADJ	ATE11
final	ADJ	ATE11
ultimate	ADJ	ATE11
sure	ADJ	ATE11
familiar	ADJ	ATE11
ready	ADJ	ATE11
responsible	ADJ	ATE11
easy	ADJ	ATE11
glorious	ADJ	ATE11
big	ADJ	ATE11
big	ADJ	ATE11
very	ADJ	ATE11
ultimate	ADJ	ATE11
close	ADJ	ATE11
eld	ADJ	ATE11
natural	ADJ	ATE11
ultimate	ADJ	ATE11
frustrated	ADJ	ATE11
old	ADJ	ATE11
well	ADJ	ATE11
ancient	ADJ	ATE11
young	ADJ	ATE11
newfangled	ADJ	ATE11
alive	ADJ	ATE11
crazy	ADJ	ATE11
bouncy	ADJ	ATE11
asleep	ADJ	ATE11
other	ADJ	ATE11
powerful	ADJ	ATE11
entire	ADJ	ATE11
main	ADJ	ATE11
animate	ADJ	ATE11
alive	ADJ	ATE11
stupid	ADJ	ATE11
young	ADJ	ATE11
responsible	ADJ	ATE11
old	ADJ	ATE11
annoyed	ADJ	ATE11
giant	ADJ	ATE11
nice	ADJ	ATE11
few	ADJ	ATE11
right	ADJ	ATE11
free	ADJ	ATE11
good	ADJ	ATE11
glad	ADJ	ATE11
naked	ADJ	ATE11
free	ADJ	ATE11
full	ADJ	ATE11
squid	ADJ	ATE10
other	ADJ	ATE10
many	ADJ	ATE10
bad	ADJ	ATE10
human	ADJ	ATE10
bad	ADJ	ATE10
well	ADJ	ATE10
half	ADJ	ATE10
half	ADJ	ATE10
serious	ADJ	ATE10
ohhhhhhhh	ADJ	ATE10
cold	ADJ	ATE10
hearted	ADJ	ATE10
long	ADJ	ATE10
own	ADJ	ATE10
small	ADJ	ATE10
cool	ADJ	ATE10
wrong	ADJ	ATE10
sad	ADJ	ATE10
tough	ADJ	ATE10
soooo	ADJ	ATE10
sad	ADJ	ATE10
rough	ADJ	ATE10
other	ADJ	ATE10
slight	ADJ	ATE10
smooth	ADJ	ATE10
raunchy	ADJ	ATE10
maddening	ADJ	ATE10
disgusting	ADJ	ATE10
fantastic	ADJ	ATE10
first	ADJ	ATE10
rough	ADJ	ATE10
real	ADJ	ATE10
ready	ADJ	ATE10
rough	ADJ	ATE10
other	ADJ	ATE10
little	ADJ	ATE10
right	ADJ	ATE10
sure	ADJ	ATE10
rough	ADJ	ATE10
perfect	ADJ	ATE10
several	ADJ	ATE10
smooth	ADJ	ATE10
right	ADJ	ATE10
terrible	ADJ	ATE10
bad	ADJ	ATE10
good	ADJ	ATE10
sorry	ADJ	ATE10
fair	ADJ	ATE10
fair	ADJ	ATE10
real	ADJ	ATE10
small	ADJ	ATE10
least	ADJ	ATE10
more	ADJ	ATE10
pet	ADJ	ATE10
pet	ADJ	ATE10
great	ADJ	ATE10
other	ADJ	ATE10
awesome	ADJ	ATE10
other	ADJ	ATE10
good	ADJ	ATE10
cool	ADJ	ATE10
right	ADJ	ATE10
fine	ADJ	ATE10
great	ADJ	ATE10
crazy	ADJ	ATE10
other	ADJ	ATE10
raw	ADJ	ATE10
happy	ADJ	ATE10
other	ADJ	ATE10
rashy	ADJ	ATE10
entire	ADJ	ATE10
other	ADJ	ATE10
fine	ADJ	ATE10
okay	ADJ	ATE10
healthy	ADJ	ATE10
healthy	ADJ	ATE10
beautiful	ADJ	ATE10
gorgeous	ADJ	ATE10
second	ADJ	ATE10
quiet	ADJ	ATE10
itchy	ADJ	ATE10
cold	ADJ	ATE10
naked	ADJ	ATE10
crazy	ADJ	ATE10
old	ADJ	ATE10
different	ADJ	ATE10
wrong	ADJ	ATE10
stuck	ADJ	ATE10
happy	ADJ	ATE10
several	ADJ	ATE10
happy	ADJ	ATE10
more	ADJ	ATE10
dirty	ADJ	ATE10
dirty	ADJ	ATE10
happy	ADJ	ATE10
corny	ADJ	ATE10
ready	ADJ	ATE10
ready	ADJ	ATE10
ready	ADJ	ATE10
several	ADJ	ATE10
naked	ADJ	ATE10
gorgeous	ADJ	ATE10
vaporized	ADJ	ATE12
true	ADJ	ATE12
honest	ADJ	ATE12
true	ADJ	ATE12
reliable	ADJ	ATE12
reliable	ADJ	ATE12
very	ADJ	ATE12
good	ADJ	ATE12
full	ADJ	ATE12
mysterious	ADJ	ATE12
scary	ADJ	ATE12
unprepared	ADJ	ATE12
reliable	ADJ	ATE12
open	ADJ	ATE12
scared	ADJ	ATE12
total	ADJ	ATE12
afraid	ADJ	ATE12
exhausted	ADJ	ATE12
goldfish	ADJ	ATE12
giant	ADJ	ATE12
ordinary	ADJ	ATE12
little	ADJ	ATE12
wonderful	ADJ	ATE12
cool	ADJ	ATE12
tired	ADJ	ATE12
warm	ADJ	ATE12
great	ADJ	ATE12
